Nombre,lat,lon
CEDIS San Gregorio-Cerro El Elefante,19.3138202033079,-98.937147336012
Geovillas de Ayotla-Unión Antorchista,19.3444194346567,-98.8898031434603
Ixtapaluca centro-Acozac,19.3295432229449,-98.8902432348539
Pueblos de Ixtapaluca,19.3459826777652,-98.7482961442086
CC Sendero y Galerías Ixtapaluca,19.3038289634001,-98.8911588184405
CC Sendero Valle de Chalco-Santiago,19.3019107016294,-98.9494033493541
Alfredo Baranda,19.2834357933643,-98.9438434053357
Xico,19.2573992534717,-98.9488709003551
San Miguel Jacalones,19.2817871707396,-98.8976491079004
Chalco de Díaz Covarrubias,19.2562732715509,-98.9105268830023
San Martín Cuautlalpan,19.283917977334,-98.8390615081032
San Gregorio-Tlalmanalco,19.2329946947305,-98.7489451238266
Industrial Chalco-Tenango del Aire,19.1393704001015,-98.8850704843919
Tramo Amecameca-Cuautla,19.0551937445545,-98.7388939341978
Tizayuca,19.852076497541,-98.9612615501865
Lomas de Buena Vista-Sta Rosa,19.399205110817,-98.8802794014722
